filename,agg2_amplitude,agg2_center,agg2_sigma,agg1_amplitude,agg1_center,agg1_sigma,cip_amplitude,cip_center,cip_sigma,free_amplitude,free_center,free_sigma,rsquared_raw,rsquared_aug
1m_3FDME_RE_1.7.dpt,897.9125290431462,750.0099980026283,3.660406855292482,29157.028051601003,744.0000923625367,14.999999983759373,6541.348738426216,736.0000185633166,12.994441802044967,0.002857173486543463,720.008782801391,14.966724597195258,0.9965389898788929,0.9962694014151648
1m_3FDME_RE_1.4.dpt,1274.8890785884232,750.007747229394,4.5337395316439135,28957.316578405796,744.0092404060659,14.99788558248854,4828.585590957964,736.000518468275,10.491299320069777,1387.3758307589394,720.0084388247305,14.958341276071465,0.9980393237442169,0.9980054255216548
1m_3FDME_RE_1.3.dpt,1317.8377967805336,750.0000000519173,3.8099892951988306,24551.5286709122,744.0099887968034,14.999999997915932,8966.174057092116,736.000022393677,11.79112646849602,1.493671852870193e-11,720.0079303505078,9.640035138126656,0.9977678960162646,0.9976662642950177
1m_3FDME_RE_1.2.dpt,6052.134695129329,750.0099614589593,8.051895637918404,21206.61041042346,744.0093154668816,14.999999998195694,4389.453883911527,736.0000447163007,7.778088250959073,1065.8201819097599,720.0001354758832,13.090335788364065,0.9907349051856862,0.9883127378720002
1m_3FDME_RE_1.0.dpt,1347.0944054034642,750.0099894336047,3.9992207912710906,27945.54070884403,744.0099151705876,14.99998109851165,1920.9303213983733,736.0093726688928,9.176987492423933,1196.8250411387014,720.009999888845,14.999999999798222,0.9946432725270592,0.9946061127748748
1m_3FDME_RE_1.6.dpt,1691.2622238997642,750.0000000339211,4.659123953051722,26650.251491194893,744.0099980588185,14.999999999799526,7779.575859043529,736.0000152748413,9.862745667343688,886.6674322929065,720.0098631588326,11.906993874416086,0.9960565774404074,0.9956442989748037
4m_3FDME_3.0.dpt,81738.96711300801,750.009906990215,12.798475861530134,2.418731881448366e-12,744.008815914133,8.05970759837328,224.0959381269738,736.0000001551368,3.3661155647959444,632.6010457957528,720.0000016759398,14.941295279822466,0.9987544831202101,0.9989014285745844
2m_3FDME_1.0.dpt,4054.8923610557135,750.0099996174575,5.821922631892208,61598.88057782398,744.0099995496055,14.822250242771819,3263.597152584792,736.0099999971056,7.060946205086538,2.37044162076927e-10,720.0091575509974,13.158915024497551,0.998625103817968,0.9986124068939233
1m_3FDME_RE_1.1.dpt,4359.811328434544,750.0098221548418,7.043951122913956,24274.334367789852,744.0099995325812,14.999999630585652,4799.220553941104,736.000186774447,8.601303580526798,185.34748550434725,720.0080314005081,10.476416893190452,0.9910159774562864,0.9901821363077834
1m_3FDME_RE_1.5.dpt,3301.6855734819305,750.0099960496045,6.132050861001732,23432.716772749664,744.0000004203426,14.964181776471415,7319.694493809333,736.0000042969128,11.237734504992705,884.7904756524517,720.0093184960065,14.69716751462451,0.9954108827813252,0.9943644053793865
3m_3FDME_3.0.dpt,65803.44886679792,750.0099990431195,11.893006665300275,15122.131831888799,744.009979968164,12.038718221752521,18777.37014179699,736.0001483288926,9.718567428522423,3918.8776120916978,720.0001418320742,14.999999662873341,0.9979392282437436,0.9982369869435977
2m_3FDME_2.0.dpt,3842.7113539847096,750.0099997928486,5.123668500683404,62024.58874509895,744.0099977938239,14.782970518090456,4730.175071446528,736.0000001196945,7.742156372223125,9.969802761133906e-13,720.0099957290055,14.999761171722795,0.9967531185124432,0.996717770771836
3m_3FDME_1.0.dpt,41257.277455450836,750.0099999446679,11.498275231067575,53235.78111378166,744.0099888911881,14.999999451199413,10821.643141651315,736.0000000013338,9.793509762899097,1.8474111129762605e-13,720.0099989199523,14.999269071097856,0.9987688014705425,0.9988855217973652
4m_3FDME_1.0.dpt,82014.32820777361,750.0099999555304,12.862458770683707,4.7493120547414946e-11,744.0061060647555,9.012284588708598,476.37569016108307,736.0000000039973,3.5963708872170814,1652.8048779221897,720.0000574159984,14.996425152309016,0.9987814987570942,0.9989759203226852
4m_3FDME_2.0.dpt,80465.74173230644,750.0099308708948,12.679241880186552,207.24189005341384,744.0000119443325,2.0615723885725155,856.1708050746697,736.0000019521773,5.013141132823054,3681.920040691377,720.002558755334,14.931581019129013,0.9995334923084103,0.9995507291356636
2m_3FDME_4.0.dpt,4162.68799180308,750.0099999764236,6.292403058962973,57962.422652953006,744.0098764035273,14.534810581940091,4276.12402647669,736.0000488190079,7.536208111658859,0.00014124140413929176,720.0089135208494,4.195388733365354,0.9984909061812682,0.998350830524439
3m_3FDME_2.0.dpt,72102.30466369414,750.0000038040715,11.796165465866741,4.5065076115236025e-09,744.0098552543739,4.952692106037103,29974.216134686143,736.0000438497557,11.061450976442798,8.694565067912663e-10,720.0079557432772,2.0466484706851906,0.9980094797697837,0.9982292850916118
2m_3FDME_3.0.dpt,5241.05608126836,750.009997043137,5.874844198030973,53349.95148822014,744.0099996086716,14.999999999799526,7917.002568874229,736.0000150547988,8.969353818422162,0.35080599269043145,720.0099872139012,10.561037740204181,0.995764903237251,0.9957744091148694
