filename,free(%),cip(%),agg1(%)
1m_3FDME_RE_1.0.dpt,6.302285215747492,0.00044112318587709353,93.69727366106663
1m_3FDME_RE_1.1.dpt,0.026877028821039418,31.293057524176138,68.68006544700282
1m_3FDME_RE_1.2.dpt,0.01641314052281953,28.265983108333874,71.7176037511433
1m_3FDME_RE_1.3.dpt,0.004469319316395847,37.954115399383035,62.04141528130057
1m_3FDME_RE_1.4.dpt,0.005143308188129511,41.97642849600547,58.01842819580641
1m_3FDME_RE_1.5.dpt,16.99989625888392,39.625740454768525,43.37436328634755
1m_3FDME_RE_1.6.dpt,0.024792950222421766,36.930984961583036,63.04422208819456
1m_3FDME_RE_1.7.dpt,21.134457052461624,29.55786483681837,49.30767811072001
2m_3FDME_1.0.dpt,0.002706206229280288,33.81238661446791,66.18490717930281
2m_3FDME_2.0.dpt,14.081818660193424,31.732473649288114,54.18570769051845
2m_3FDME_3.0.dpt,0.023395848895968373,31.872793932538297,68.10381021856574
2m_3FDME_4.0.dpt,19.392766437795437,27.805763824961737,52.80146973724283
3m_3FDME_1.0.dpt,0.000815077772612698,35.556685268518166,64.44249965370923
3m_3FDME_2.0.dpt,0.0038551620067608042,27.76768864915989,72.22845618883335
3m_3FDME_3.0.dpt,0.001779119141328712,34.07005123319739,65.92816964766128
4m_3FDME_1.0.dpt,0.005086785089912822,23.315311505743782,76.6796017091663
4m_3FDME_2.0.dpt,0.08766036592727378,28.284215125407673,71.62812450866505
4m_3FDME_3.0.dpt,0.00878563939532388,30.283752206294402,69.70746215431028
